Alpha,Beta,Gamma,Coherence,Num_Topics
0.01,0.01,1,0.500025464897877,30
0.01,0.01,2,0.48744522557231534,30
0.01,0.01,3,0.489816454855114,30
0.01,0.31,1,0.49731570006114345,30
0.01,0.31,2,0.46929627063117535,30
0.01,0.31,3,0.48904689392705836,30
0.01,0.61,1,0.4826264544983971,30
0.01,0.61,2,0.5022589909275105,30
0.01,0.61,3,0.48146362460579945,30
0.01,0.91,1,0.4977116092273769,30
0.01,0.91,2,0.4951430580793075,30
0.01,0.91,3,0.49834865466170475,30
0.31,0.01,1,0.4957289134744531,30
0.31,0.01,2,0.493735181133856,30
0.31,0.01,3,0.4999246606630599,30
0.31,0.31,1,0.4992944101780958,30
0.31,0.31,2,0.48427623509513384,30
0.31,0.31,3,0.5015120949145383,30
0.31,0.61,1,0.48764803093752285,30
0.31,0.61,2,0.48086291691781663,30
0.31,0.61,3,0.49899586576744415,30
0.31,0.91,1,0.4969200677293799,30
0.31,0.91,2,0.4833279124132152,30
0.31,0.91,3,0.46477965440657537,30
0.61,0.01,1,0.4954367265528032,30
0.61,0.01,2,0.48984651024022857,30
0.61,0.01,3,0.5062286167299003,30
0.61,0.31,1,0.47256477952114884,30
0.61,0.31,2,0.505954604404493,30
0.61,0.31,3,0.49484106376792514,30
0.61,0.61,1,0.5071133579522198,30
0.61,0.61,2,0.5035571950644789,30
0.61,0.61,3,0.4981415093853343,30
0.61,0.91,1,0.47362597311997795,30
0.61,0.91,2,0.5095479250487858,30
0.61,0.91,3,0.4967955291811755,30
0.91,0.01,1,0.5038414823440589,30
0.91,0.01,2,0.49214935367095697,30
0.91,0.01,3,0.4925456646638636,30
0.91,0.31,1,0.5051901380832489,30
0.91,0.31,2,0.4915672193621124,30
0.91,0.31,3,0.4908765153981439,30
0.91,0.61,1,0.49408985379659714,30
0.91,0.61,2,0.5066987051330007,30
0.91,0.61,3,0.4653419545462358,30
0.91,0.91,1,0.5294031868100869,30
0.91,0.91,2,0.4867460881341429,30
0.91,0.91,3,0.4832744662804221,30
