Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,symmetric,symmetric,0.3096768036826246
75% Corpus,2,symmetric,0.01,0.32350115390096607
75% Corpus,2,symmetric,0.31,0.3296197752421453
75% Corpus,2,symmetric,0.61,0.31780323259052146
75% Corpus,2,symmetric,0.91,0.3192459983908365
75% Corpus,2,asymmetric,symmetric,0.31952831649639923
75% Corpus,2,asymmetric,0.01,0.31872011657437516
75% Corpus,2,asymmetric,0.31,0.3180989672081391
75% Corpus,2,asymmetric,0.61,0.3291245402998637
75% Corpus,2,asymmetric,0.91,0.3177282050011971
75% Corpus,2,0.01,symmetric,0.3223712798065762
75% Corpus,2,0.01,0.01,0.32146614625829184
75% Corpus,2,0.01,0.31,0.324750765106524
75% Corpus,2,0.01,0.61,0.3246755486959446
75% Corpus,2,0.01,0.91,0.3166066394582877
75% Corpus,2,0.31,symmetric,0.3215291916066811
75% Corpus,2,0.31,0.01,0.32262400553923504
75% Corpus,2,0.31,0.31,0.3244146635476258
75% Corpus,2,0.31,0.61,0.31781062426962625
75% Corpus,2,0.31,0.91,0.32093367610677526
75% Corpus,2,0.61,symmetric,0.31555033751411365
75% Corpus,2,0.61,0.01,0.32331993731138564
75% Corpus,2,0.61,0.31,0.313572974599327
75% Corpus,2,0.61,0.61,0.31431283247908554
75% Corpus,2,0.61,0.91,0.32235349733951746
75% Corpus,2,0.91,symmetric,0.31516407485846254
75% Corpus,2,0.91,0.01,0.31616456674827564
75% Corpus,2,0.91,0.31,0.3152999914875506
75% Corpus,2,0.91,0.61,0.31995207335283726
75% Corpus,2,0.91,0.91,0.32386299057724743
75% Corpus,3,symmetric,symmetric,0.3120535329163368
75% Corpus,3,symmetric,0.01,0.3180607092231712
75% Corpus,3,symmetric,0.31,0.3160680320925919
75% Corpus,3,symmetric,0.61,0.3196966468899121
75% Corpus,3,symmetric,0.91,0.32487893765583126
75% Corpus,3,asymmetric,symmetric,0.32327519142225075
75% Corpus,3,asymmetric,0.01,0.3273441194900197
75% Corpus,3,asymmetric,0.31,0.3135235916175725
75% Corpus,3,asymmetric,0.61,0.32948780848156733
75% Corpus,3,asymmetric,0.91,0.3221629602668901
75% Corpus,3,0.01,symmetric,0.3245341598449662
75% Corpus,3,0.01,0.01,0.3269442090345371
75% Corpus,3,0.01,0.31,0.31653130516321376
75% Corpus,3,0.01,0.61,0.3281801026653312
75% Corpus,3,0.01,0.91,0.3195146809700706
75% Corpus,3,0.31,symmetric,0.32118157379228823
75% Corpus,3,0.31,0.01,0.32032342901416627
75% Corpus,3,0.31,0.31,0.3219843420613793
75% Corpus,3,0.31,0.61,0.3260218451712282
75% Corpus,3,0.31,0.91,0.3120909997283579
75% Corpus,3,0.61,symmetric,0.32122857751847184
75% Corpus,3,0.61,0.01,0.3197373125685718
75% Corpus,3,0.61,0.31,0.3183798610286965
75% Corpus,3,0.61,0.61,0.31451595275879224
75% Corpus,3,0.61,0.91,0.31892519611616726
75% Corpus,3,0.91,symmetric,0.31482929217713806
75% Corpus,3,0.91,0.01,0.3221660557983605
75% Corpus,3,0.91,0.31,0.32079753929827276
75% Corpus,3,0.91,0.61,0.3127532904978735
75% Corpus,3,0.91,0.91,0.31672561314052555
75% Corpus,4,symmetric,symmetric,0.3190984836099493
75% Corpus,4,symmetric,0.01,0.31198854357619926
75% Corpus,4,symmetric,0.31,0.3192441218697609
75% Corpus,4,symmetric,0.61,0.32134785560554535
75% Corpus,4,symmetric,0.91,0.31779847463685723
75% Corpus,4,asymmetric,symmetric,0.3261799813269989
75% Corpus,4,asymmetric,0.01,0.32992627524241547
75% Corpus,4,asymmetric,0.31,0.32330988533264854
75% Corpus,4,asymmetric,0.61,0.32669076487272813
75% Corpus,4,asymmetric,0.91,0.32687492562242576
75% Corpus,4,0.01,symmetric,0.3147703432295642
75% Corpus,4,0.01,0.01,0.31289137157321023
75% Corpus,4,0.01,0.31,0.3212699298134134
75% Corpus,4,0.01,0.61,0.3134182693157326
75% Corpus,4,0.01,0.91,0.3240864042474765
75% Corpus,4,0.31,symmetric,0.314025823579207
75% Corpus,4,0.31,0.01,0.32326919770635343
75% Corpus,4,0.31,0.31,0.330210675496748
75% Corpus,4,0.31,0.61,0.32423309167472486
75% Corpus,4,0.31,0.91,0.31766928721786597
75% Corpus,4,0.61,symmetric,0.32531898982991525
75% Corpus,4,0.61,0.01,0.3193170597690894
75% Corpus,4,0.61,0.31,0.31915114763620867
75% Corpus,4,0.61,0.61,0.3191590942832964
75% Corpus,4,0.61,0.91,0.3187658470282848
75% Corpus,4,0.91,symmetric,0.31759047923751016
75% Corpus,4,0.91,0.01,0.32291243752808857
