Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,symmetric,symmetric,0.44083059858269824
75% Corpus,2,symmetric,0.01,0.43213136059581725
75% Corpus,2,symmetric,0.31,0.43716109721728985
75% Corpus,2,symmetric,0.61,0.43983056176291335
75% Corpus,2,symmetric,0.91,0.4434845391830162
75% Corpus,2,asymmetric,symmetric,0.44872110036398216
75% Corpus,2,asymmetric,0.01,0.43913801419007864
75% Corpus,2,asymmetric,0.31,0.4354155064567613
75% Corpus,2,asymmetric,0.61,0.4414049051121524
75% Corpus,2,asymmetric,0.91,0.43258155657419806
75% Corpus,2,0.01,symmetric,0.43900442820596886
75% Corpus,2,0.01,0.01,0.4411111375943939
75% Corpus,2,0.01,0.31,0.4416265994571681
75% Corpus,2,0.01,0.61,0.4189150540508382
75% Corpus,2,0.01,0.91,0.43585027075939237
75% Corpus,2,0.31,symmetric,0.4348611212739786
75% Corpus,2,0.31,0.01,0.4287279096214136
75% Corpus,2,0.31,0.31,0.4281869920204152
75% Corpus,2,0.31,0.61,0.43984038141042336
75% Corpus,2,0.31,0.91,0.4411445634930291
75% Corpus,2,0.61,symmetric,0.43172856967440715
75% Corpus,2,0.61,0.01,0.43384819458595125
75% Corpus,2,0.61,0.31,0.43565076297290295
75% Corpus,2,0.61,0.61,0.4380677253484681
75% Corpus,2,0.61,0.91,0.43473467841094954
75% Corpus,2,0.91,symmetric,0.43136732315573717
75% Corpus,2,0.91,0.01,0.43757082146977944
75% Corpus,2,0.91,0.31,0.43500225292911854
75% Corpus,2,0.91,0.61,0.4460109295941967
75% Corpus,2,0.91,0.91,0.44438860416950055
75% Corpus,3,symmetric,symmetric,0.439569903428575
75% Corpus,3,symmetric,0.01,0.4328791658520714
75% Corpus,3,symmetric,0.31,0.4368313240602917
75% Corpus,3,symmetric,0.61,0.44481540434815053
75% Corpus,3,symmetric,0.91,0.44414897478964904
75% Corpus,3,asymmetric,symmetric,0.41965752006469575
75% Corpus,3,asymmetric,0.01,0.43806830521397394
75% Corpus,3,asymmetric,0.31,0.4414030284596668
75% Corpus,3,asymmetric,0.61,0.44595206808836724
75% Corpus,3,asymmetric,0.91,0.43490936510498096
75% Corpus,3,0.01,symmetric,0.43228747141757684
75% Corpus,3,0.01,0.01,0.4351700842002866
75% Corpus,3,0.01,0.31,0.4371878798925472
75% Corpus,3,0.01,0.61,0.43140838552094696
75% Corpus,3,0.01,0.91,0.4456270032738418
75% Corpus,3,0.31,symmetric,0.4387214523716641
75% Corpus,3,0.31,0.01,0.4428567594555332
75% Corpus,3,0.31,0.31,0.4327842061998804
75% Corpus,3,0.31,0.61,0.4314220852000057
75% Corpus,3,0.31,0.91,0.4369873077184456
75% Corpus,3,0.61,symmetric,0.43033673814197754
75% Corpus,3,0.61,0.01,0.4437853322662482
75% Corpus,3,0.61,0.31,0.436282578038423
75% Corpus,3,0.61,0.61,0.4414142945556287
75% Corpus,3,0.61,0.91,0.4347678380396324
75% Corpus,3,0.91,symmetric,0.44379160712551863
75% Corpus,3,0.91,0.01,0.44242954636608073
75% Corpus,3,0.91,0.31,0.4386384561684293
75% Corpus,3,0.91,0.61,0.44106817300086965
75% Corpus,3,0.91,0.91,0.4392355236096422
75% Corpus,4,symmetric,symmetric,0.4303387427130002
75% Corpus,4,symmetric,0.01,0.43355539830017564
75% Corpus,4,symmetric,0.31,0.4394220061797139
75% Corpus,4,symmetric,0.61,0.4467044630104657
75% Corpus,4,symmetric,0.91,0.4391206567560038
75% Corpus,4,asymmetric,symmetric,0.4358364712853255
75% Corpus,4,asymmetric,0.01,0.43462563059766096
75% Corpus,4,asymmetric,0.31,0.44340509295149
75% Corpus,4,asymmetric,0.61,0.4400964461485549
75% Corpus,4,asymmetric,0.91,0.4468521870907858
75% Corpus,4,0.01,symmetric,0.42933939734835636
75% Corpus,4,0.01,0.01,0.4255785521657509
75% Corpus,4,0.01,0.31,0.44268668343321016
75% Corpus,4,0.01,0.61,0.4325148460736343
75% Corpus,4,0.01,0.91,0.4365582647046282
75% Corpus,4,0.31,symmetric,0.4398312258122558
75% Corpus,4,0.31,0.01,0.4258123697657444
75% Corpus,4,0.31,0.31,0.4338106029211868
75% Corpus,4,0.31,0.61,0.43265828947195123
75% Corpus,4,0.31,0.91,0.4377173061301445
75% Corpus,4,0.61,symmetric,0.43631610991485736
75% Corpus,4,0.61,0.01,0.4482925196218689
75% Corpus,4,0.61,0.31,0.4452347284504652
75% Corpus,4,0.61,0.61,0.43687416791469236
75% Corpus,4,0.61,0.91,0.43690364038049656
75% Corpus,4,0.91,symmetric,0.4396720589517073
75% Corpus,4,0.91,0.01,0.43158227719208675
75% Corpus,4,0.91,0.31,0.42495500042091117
75% Corpus,4,0.91,0.61,0.4365994745582067
75% Corpus,4,0.91,0.91,0.43552367858208263
75% Corpus,5,symmetric,symmetric,0.4376382059223681
75% Corpus,5,symmetric,0.01,0.43916121086333615
75% Corpus,5,symmetric,0.31,0.4430307396221263
75% Corpus,5,symmetric,0.61,0.44464240148094314
75% Corpus,5,symmetric,0.91,0.42812873363687765
75% Corpus,5,asymmetric,symmetric,0.4331289551334563
75% Corpus,5,asymmetric,0.01,0.43561033698180596
75% Corpus,5,asymmetric,0.31,0.44379860804581817
75% Corpus,5,asymmetric,0.61,0.42548840659124815
75% Corpus,5,asymmetric,0.91,0.43987710899851307
75% Corpus,5,0.01,symmetric,0.43299529735080694
75% Corpus,5,0.01,0.01,0.44439977804544367
75% Corpus,5,0.01,0.31,0.4285920926603943
75% Corpus,5,0.01,0.61,0.43567178983507693
75% Corpus,5,0.01,0.91,0.43679517721679517
75% Corpus,5,0.31,symmetric,0.4453940780215242
75% Corpus,5,0.31,0.01,0.43040627594145686
75% Corpus,5,0.31,0.31,0.446847492605027
75% Corpus,5,0.31,0.61,0.4375521733082704
75% Corpus,5,0.31,0.91,0.4322803932536443
75% Corpus,5,0.61,symmetric,0.4392655453948411
75% Corpus,5,0.61,0.01,0.4412383392800683
75% Corpus,5,0.61,0.31,0.4378134343022273
75% Corpus,5,0.61,0.61,0.43808540058259055
75% Corpus,5,0.61,0.91,0.43789123038128325
75% Corpus,5,0.91,symmetric,0.4347629213030599
75% Corpus,5,0.91,0.01,0.4329860821515701
75% Corpus,5,0.91,0.31,0.4419224972989252
75% Corpus,5,0.91,0.61,0.4389461574257879
75% Corpus,5,0.91,0.91,0.44125871326408606
75% Corpus,6,symmetric,symmetric,0.43532398882613793
75% Corpus,6,symmetric,0.01,0.4362916296950226
75% Corpus,6,symmetric,0.31,0.43024034191982713
75% Corpus,6,symmetric,0.61,0.4372795591923185
75% Corpus,6,symmetric,0.91,0.4390532063038124
75% Corpus,6,asymmetric,symmetric,0.43766509441666934
75% Corpus,6,asymmetric,0.01,0.4362330189375359
75% Corpus,6,asymmetric,0.31,0.43933441791257
75% Corpus,6,asymmetric,0.61,0.4421970953631223
75% Corpus,6,asymmetric,0.91,0.44302314835395534
75% Corpus,6,0.01,symmetric,0.4385363038773504
75% Corpus,6,0.01,0.01,0.43784901709857554
75% Corpus,6,0.01,0.31,0.43060769179668507
75% Corpus,6,0.01,0.61,0.43515275435372475
75% Corpus,6,0.01,0.91,0.4444710896056239
75% Corpus,6,0.31,symmetric,0.4300118642686037
75% Corpus,6,0.31,0.01,0.4383643693593425
75% Corpus,6,0.31,0.31,0.41669366639798106
75% Corpus,6,0.31,0.61,0.4306383211342668
75% Corpus,6,0.31,0.91,0.43811733501375943
75% Corpus,6,0.61,symmetric,0.4357039727936755
75% Corpus,6,0.61,0.01,0.4399118261232155
75% Corpus,6,0.61,0.31,0.43615814296912186
75% Corpus,6,0.61,0.61,0.44049685698935465
75% Corpus,6,0.61,0.91,0.44270278636167143
75% Corpus,6,0.91,symmetric,0.43993212131638315
75% Corpus,6,0.91,0.01,0.4331330162002745
75% Corpus,6,0.91,0.31,0.4344019605174199
75% Corpus,6,0.91,0.61,0.4388349930445517
75% Corpus,6,0.91,0.91,0.4344005524699832
75% Corpus,7,symmetric,symmetric,0.43254954785691935
75% Corpus,7,symmetric,0.01,0.4352253136491941
75% Corpus,7,symmetric,0.31,0.43536308164993814
75% Corpus,7,symmetric,0.61,0.44022948198244055
75% Corpus,7,symmetric,0.91,0.4410858088678489
75% Corpus,7,asymmetric,symmetric,0.43674393420513297
75% Corpus,7,asymmetric,0.01,0.43481338745898723
75% Corpus,7,asymmetric,0.31,0.4360942598035243
75% Corpus,7,asymmetric,0.61,0.4437390630334204
75% Corpus,7,asymmetric,0.91,0.44368126554530224
75% Corpus,7,0.01,symmetric,0.4348121865891791
75% Corpus,7,0.01,0.01,0.43792710281229646
75% Corpus,7,0.01,0.31,0.4291403042355091
75% Corpus,7,0.01,0.61,0.4305266093069136
75% Corpus,7,0.01,0.91,0.43256755274564757
75% Corpus,7,0.31,symmetric,0.42934632771499776
75% Corpus,7,0.31,0.01,0.4380557429517719
75% Corpus,7,0.31,0.31,0.4430788214301396
75% Corpus,7,0.31,0.61,0.4391193288284409
75% Corpus,7,0.31,0.91,0.4450708472553129
75% Corpus,7,0.61,symmetric,0.4385560852917817
75% Corpus,7,0.61,0.01,0.4328484895921461
75% Corpus,7,0.61,0.31,0.4351621746328398
75% Corpus,7,0.61,0.61,0.4368141751116023
75% Corpus,7,0.61,0.91,0.4402537270922849
75% Corpus,7,0.91,symmetric,0.4378130682088364
75% Corpus,7,0.91,0.01,0.4342096689500087
75% Corpus,7,0.91,0.31,0.43648706056223757
75% Corpus,7,0.91,0.61,0.4395497986717113
75% Corpus,7,0.91,0.91,0.4417284907799562
75% Corpus,8,symmetric,symmetric,0.430637694851607
75% Corpus,8,symmetric,0.01,0.439582311645947
75% Corpus,8,symmetric,0.31,0.4417839597457335
75% Corpus,8,symmetric,0.61,0.4343879691675557
75% Corpus,8,symmetric,0.91,0.44457066533253314
75% Corpus,8,asymmetric,symmetric,0.44614371121911023
75% Corpus,8,asymmetric,0.01,0.4380622969655996
75% Corpus,8,asymmetric,0.31,0.4374437817976822
75% Corpus,8,asymmetric,0.61,0.43557944026360107
75% Corpus,8,asymmetric,0.91,0.43875460189791793
75% Corpus,8,0.01,symmetric,0.43892404572467203
75% Corpus,8,0.01,0.01,0.43548671299706654
75% Corpus,8,0.01,0.31,0.43695248839858525
75% Corpus,8,0.01,0.61,0.43165796167138765
