Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,symmetric,symmetric,0.31549540753268845
75% Corpus,2,symmetric,0.01,0.3195286313964373
75% Corpus,2,symmetric,0.31,0.314809850073503
75% Corpus,2,symmetric,0.61,0.3114159782485913
75% Corpus,2,symmetric,0.91,0.3125806101199343
75% Corpus,2,0.01,symmetric,0.31063733523909
75% Corpus,2,0.01,0.01,0.31254375926154243
75% Corpus,2,0.01,0.31,0.3095056037906017
75% Corpus,2,0.01,0.61,0.31403605948855046
75% Corpus,2,0.01,0.91,0.31312550005322215
75% Corpus,2,0.31,symmetric,0.31382910915925555
75% Corpus,2,0.31,0.01,0.31381062968054363
75% Corpus,2,0.31,0.31,0.31382910915925555
75% Corpus,2,0.31,0.61,0.31289933607599474
75% Corpus,2,0.31,0.91,0.31289933607599474
75% Corpus,2,0.61,symmetric,0.3130473923180206
75% Corpus,2,0.61,0.01,0.31072145044277466
75% Corpus,2,0.61,0.31,0.31519306900329563
75% Corpus,2,0.61,0.61,0.3144238341023907
75% Corpus,2,0.61,0.91,0.3132392627130621
75% Corpus,2,0.91,symmetric,0.3144238341023907
75% Corpus,2,0.91,0.01,0.31128747240012034
75% Corpus,2,0.91,0.31,0.3143606582934936
75% Corpus,2,0.91,0.61,0.3144238341023907
75% Corpus,2,0.91,0.91,0.3109906828794735
75% Corpus,3,symmetric,symmetric,0.31510216027675453
75% Corpus,3,symmetric,0.01,0.31425194150880736
75% Corpus,3,symmetric,0.31,0.31510216027675453
75% Corpus,3,symmetric,0.61,0.31567874314614586
75% Corpus,3,symmetric,0.91,0.31773229105456724
75% Corpus,3,0.01,symmetric,0.3103371602053666
75% Corpus,3,0.01,0.01,0.3144942542548645
75% Corpus,3,0.01,0.31,0.31144578519276694
75% Corpus,3,0.01,0.61,0.30712177082692754
75% Corpus,3,0.01,0.91,0.3086793833819927
75% Corpus,3,0.31,symmetric,0.3124735822317692
75% Corpus,3,0.31,0.01,0.3139814483198946
75% Corpus,3,0.31,0.31,0.3124735822317692
75% Corpus,3,0.31,0.61,0.3126196313257072
75% Corpus,3,0.31,0.91,0.3126196313257072
75% Corpus,3,0.61,symmetric,0.3123266346138985
75% Corpus,3,0.61,0.01,0.307273256959603
75% Corpus,3,0.61,0.31,0.3084521089497249
75% Corpus,3,0.61,0.61,0.30912953111247304
75% Corpus,3,0.61,0.91,0.30912953111247304
75% Corpus,3,0.91,symmetric,0.30732473090629764
75% Corpus,3,0.91,0.01,0.30802274462974183
75% Corpus,3,0.91,0.31,0.30807798540127884
75% Corpus,3,0.91,0.61,0.30912953111247304
75% Corpus,3,0.91,0.91,0.3103670233728843
75% Corpus,4,symmetric,symmetric,0.3112898252925648
75% Corpus,4,symmetric,0.01,0.31406331609465177
75% Corpus,4,symmetric,0.31,0.3118182899430108
75% Corpus,4,symmetric,0.61,0.3129650198661618
75% Corpus,4,symmetric,0.91,0.3106499842384123
75% Corpus,4,0.01,symmetric,0.3094328012479526
75% Corpus,4,0.01,0.01,0.3129184353578442
75% Corpus,4,0.01,0.31,0.30993784913118894
75% Corpus,4,0.01,0.61,0.3099735621147122
75% Corpus,4,0.01,0.91,0.3106975313482756
75% Corpus,4,0.31,symmetric,0.31012850641144485
75% Corpus,4,0.31,0.01,0.3128551482744634
75% Corpus,4,0.31,0.31,0.3098387525720689
75% Corpus,4,0.31,0.61,0.3102088245708341
75% Corpus,4,0.31,0.91,0.31127919848550123
75% Corpus,4,0.61,symmetric,0.31052133023440665
75% Corpus,4,0.61,0.01,0.3103065270559488
75% Corpus,4,0.61,0.31,0.3069446809584472
75% Corpus,4,0.61,0.61,0.30625014728914773
75% Corpus,4,0.61,0.91,0.3049966939593553
75% Corpus,4,0.91,symmetric,0.3069446809584472
75% Corpus,4,0.91,0.01,0.3100101799612993
75% Corpus,4,0.91,0.31,0.3069446809584472
75% Corpus,4,0.91,0.61,0.3049966939593553
75% Corpus,4,0.91,0.91,0.3093788175277738
75% Corpus,5,symmetric,symmetric,0.312608581876643
75% Corpus,5,symmetric,0.01,0.3132626557927873
75% Corpus,5,symmetric,0.31,0.3122565025766695
75% Corpus,5,symmetric,0.61,0.3125266118192388
75% Corpus,5,symmetric,0.91,0.31304221305665914
75% Corpus,5,0.01,symmetric,0.31168619048630253
75% Corpus,5,0.01,0.01,0.31176684850022524
75% Corpus,5,0.01,0.31,0.31304394577439654
75% Corpus,5,0.01,0.61,0.31055188355250485
75% Corpus,5,0.01,0.91,0.312298375107745
75% Corpus,5,0.31,symmetric,0.3138930592455475
75% Corpus,5,0.31,0.01,0.3132649700953931
75% Corpus,5,0.31,0.31,0.3139069697879669
75% Corpus,5,0.31,0.61,0.3135919245217368
75% Corpus,5,0.31,0.91,0.3107809696855894
75% Corpus,5,0.61,symmetric,0.3119110837401208
75% Corpus,5,0.61,0.01,0.30911245160978884
75% Corpus,5,0.61,0.31,0.3101098111105114
75% Corpus,5,0.61,0.61,0.31111909123914744
75% Corpus,5,0.61,0.91,0.31130935308384
75% Corpus,5,0.91,symmetric,0.31043316622596917
75% Corpus,5,0.91,0.01,0.3094208342214755
75% Corpus,5,0.91,0.31,0.31086822289515437
75% Corpus,5,0.91,0.61,0.31222099870119924
75% Corpus,5,0.91,0.91,0.31234139308953257
75% Corpus,6,symmetric,symmetric,0.31348583196089846
75% Corpus,6,symmetric,0.01,0.31091280589682885
75% Corpus,6,symmetric,0.31,0.31134223179039866
75% Corpus,6,symmetric,0.61,0.3100996363690822
75% Corpus,6,symmetric,0.91,0.3109142401369701
75% Corpus,6,0.01,symmetric,0.31155219084527014
75% Corpus,6,0.01,0.01,0.3102939242092487
75% Corpus,6,0.01,0.31,0.3109142401369701
75% Corpus,6,0.01,0.61,0.3111929905431186
75% Corpus,6,0.01,0.91,0.31018620717212547
75% Corpus,6,0.31,symmetric,0.3148628201622119
75% Corpus,6,0.31,0.01,0.3145848548653986
75% Corpus,6,0.31,0.31,0.3155397671718107
75% Corpus,6,0.31,0.61,0.31438787947149066
75% Corpus,6,0.31,0.91,0.31208991578533324
75% Corpus,6,0.61,symmetric,0.31220520687064746
75% Corpus,6,0.61,0.01,0.31182913859753203
75% Corpus,6,0.61,0.31,0.3090127169734999
75% Corpus,6,0.61,0.61,0.30920382685240155
75% Corpus,6,0.61,0.91,0.30886236637877706
75% Corpus,6,0.91,symmetric,0.30987292286925133
75% Corpus,6,0.91,0.01,0.31140991256566264
75% Corpus,6,0.91,0.31,0.3090127169734999
75% Corpus,6,0.91,0.61,0.30936376367771173
75% Corpus,6,0.91,0.91,0.31141122806836735
75% Corpus,7,symmetric,symmetric,0.3123270849637802
75% Corpus,7,symmetric,0.01,0.31472677776049585
75% Corpus,7,symmetric,0.31,0.31224756168888795
75% Corpus,7,symmetric,0.61,0.3116827475440423
75% Corpus,7,symmetric,0.91,0.3113024918404185
75% Corpus,7,0.01,symmetric,0.31282983338364684
75% Corpus,7,0.01,0.01,0.31276464887162225
75% Corpus,7,0.01,0.31,0.3116857251965118
75% Corpus,7,0.01,0.61,0.31016376553092684
75% Corpus,7,0.01,0.91,0.3102336388559794
75% Corpus,7,0.31,symmetric,0.3150397075675208
75% Corpus,7,0.31,0.01,0.3148428153246771
75% Corpus,7,0.31,0.31,0.3144340452845113
75% Corpus,7,0.31,0.61,0.31207749999004036
75% Corpus,7,0.31,0.91,0.3119866197154982
75% Corpus,7,0.61,symmetric,0.31048958643198593
75% Corpus,7,0.61,0.01,0.31615015566486476
75% Corpus,7,0.61,0.31,0.310511210974877
75% Corpus,7,0.61,0.61,0.30865149422071375
75% Corpus,7,0.61,0.91,0.3087338956448617
75% Corpus,7,0.91,symmetric,0.31198883384183135
75% Corpus,7,0.91,0.01,0.31615015566486476
75% Corpus,7,0.91,0.31,0.3094255708194015
75% Corpus,7,0.91,0.61,0.30831197839580465
75% Corpus,7,0.91,0.91,0.308784439820763
75% Corpus,8,symmetric,symmetric,0.3132264269947974
75% Corpus,8,symmetric,0.01,0.31376544487846003
75% Corpus,8,symmetric,0.31,0.31234295636169407
75% Corpus,8,symmetric,0.61,0.31113731488971896
75% Corpus,8,symmetric,0.91,0.31030675437525657
75% Corpus,8,0.01,symmetric,0.31124880649395514
75% Corpus,8,0.01,0.01,0.311832230207655
75% Corpus,8,0.01,0.31,0.3109108919970295
75% Corpus,8,0.01,0.61,0.31123821471871727
75% Corpus,8,0.01,0.91,0.3100245053550629
75% Corpus,8,0.31,symmetric,0.3134043621977665
75% Corpus,8,0.31,0.01,0.3123943996632279
75% Corpus,8,0.31,0.31,0.3120679428460935
75% Corpus,8,0.31,0.61,0.31354252389935
75% Corpus,8,0.31,0.91,0.31279391381387506
75% Corpus,8,0.61,symmetric,0.31401918568708553
75% Corpus,8,0.61,0.01,0.31254363056939816
75% Corpus,8,0.61,0.31,0.31228789105290305
75% Corpus,8,0.61,0.61,0.31079383005910244
75% Corpus,8,0.61,0.91,0.3098935575452389
75% Corpus,8,0.91,symmetric,0.31189911023069017
75% Corpus,8,0.91,0.01,0.31217575255267405
75% Corpus,8,0.91,0.31,0.312287891052903
75% Corpus,8,0.91,0.61,0.3105125464815608
75% Corpus,8,0.91,0.91,0.31131039083767587
75% Corpus,9,symmetric,symmetric,0.3133847463315712
75% Corpus,9,symmetric,0.01,0.31281821243465335
75% Corpus,9,symmetric,0.31,0.31314375232653174
75% Corpus,9,symmetric,0.61,0.31197864757028926
75% Corpus,9,symmetric,0.91,0.309895972255344
75% Corpus,9,0.01,symmetric,0.3106538084328474
75% Corpus,9,0.01,0.01,0.3126348600172608
75% Corpus,9,0.01,0.31,0.3112945054239205
75% Corpus,9,0.01,0.61,0.3106311098211805
75% Corpus,9,0.01,0.91,0.3111410150088991
75% Corpus,9,0.31,symmetric,0.3112686195846661
75% Corpus,9,0.31,0.01,0.3106250477090242
75% Corpus,9,0.31,0.31,0.3109742926976789
75% Corpus,9,0.31,0.61,0.30928953278314014
75% Corpus,9,0.31,0.91,0.30925621991203217
75% Corpus,9,0.61,symmetric,0.3114832553893614
75% Corpus,9,0.61,0.01,0.31347639574941444
75% Corpus,9,0.61,0.31,0.3117508855983002
75% Corpus,9,0.61,0.61,0.3108755383467477
75% Corpus,9,0.61,0.91,0.31024075094518966
75% Corpus,9,0.91,symmetric,0.3124587913053515
75% Corpus,9,0.91,0.01,0.3127785709648842
75% Corpus,9,0.91,0.31,0.31192532810814716
75% Corpus,9,0.91,0.61,0.31113373140575074
75% Corpus,9,0.91,0.91,0.3094961377541302
75% Corpus,10,symmetric,symmetric,0.31135015016455664
75% Corpus,10,symmetric,0.01,0.31212451299335564
75% Corpus,10,symmetric,0.31,0.3111772302439112
75% Corpus,10,symmetric,0.61,0.3093909145297016
